Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output,scenario,severity,failure_point,sensor_status,data_quality,is_outlier,event_id
2026-07-20 10:12:36.886-07,24.42,15.22,20.25,25.24,0.480,25.24,55.39,0.0400,1.24,Reduce AHU,1,legacy,info,,online,valid,t,937130cd-6003-47b1-871b-350da1d20dee
2026-07-20 10:12:36.912-07,50.73,21.33,27.19,22.03,0.550,41.01,44.87,0.0700,1.97,Increase Chiller,0,legacy,info,,online,valid,f,1f38ca51-7f46-4a89-b9c9-54edb5c4a1f5
2026-07-20 13:27:19.637-07,53.02,20.09,26.21,25.11,0.700,54.10,52.45,0.0800,1.11,Eco Mode,4,legacy,info,,online,valid,f,1ccc8304-d3e2-47a5-bb2d-f70e0c41c441
2026-07-20 13:27:21.643-07,82.07,21.88,23.46,25.92,0.850,76.07,47.48,0.1200,1.92,Maintain,2,legacy,info,,online,valid,f,f6f573fd-ad99-43d1-83f0-ba15d8e258b2
2026-07-20 13:27:23.647-07,89.76,24.47,29.53,23.11,0.940,90.50,42.20,0.0800,0.89,Increase Chiller,0,legacy,info,,online,valid,f,2bd84ba2-0756-4a3f-a2e2-66529d16214c
2026-07-20 13:27:25.649-07,64.05,19.06,20.61,26.80,0.840,69.39,57.59,0.0900,2.80,Reduce AHU,1,legacy,info,,online,valid,f,2a79fda4-09e7-45b2-9cbb-7c695b5106b8
2026-07-20 13:27:27.655-07,72.11,22.00,22.46,25.18,0.800,65.45,54.30,0.1200,1.18,Reduce AHU,1,legacy,info,,online,valid,f,f276cb86-64b0-497a-935a-20981bd10953
2026-07-20 14:01:41.404-07,56.07,22.09,26.37,24.71,0.720,57.50,51.69,0.1000,0.71,Reduce AHU,1,legacy,info,,online,valid,f,d75c4666-8d63-4087-b652-7ddbe0192e7d
2026-07-20 14:01:41.509-07,61.03,21.54,25.04,23.86,0.670,52.25,49.98,0.0700,0.14,Maintain,2,legacy,info,,online,valid,f,0d2cef3c-9d61-4671-8edf-f7c4c6689e9e
2026-07-20 14:01:41.616-07,59.12,22.08,28.37,24.00,0.710,58.03,48.52,0.1000,0.00,Boost All,3,legacy,info,,online,valid,f,63e0a710-ad89-4a13-adb8-50d6f2dffd17
2026-07-20 14:01:41.722-07,82.27,22.75,28.64,26.25,0.870,73.17,57.25,0.0800,2.25,Boost All,3,legacy,info,,online,valid,f,837ed827-aa7f-49cd-b155-567df75fe74a
2026-07-20 14:01:41.828-07,37.59,17.85,18.05,25.47,0.530,32.92,53.24,0.0500,1.47,Eco Mode,4,legacy,info,,online,valid,t,80d9e221-6114-44b1-9e7a-f42225075432
2026-07-20 14:01:41.93-07,65.11,21.72,26.49,23.95,0.700,59.01,45.72,0.0600,0.05,Boost All,3,legacy,info,,online,valid,f,866f9b93-68ce-4e63-9871-273d9d237fad
2026-07-20 14:01:42.037-07,46.74,20.66,27.51,18.00,0.550,46.19,35.59,0.0400,6.00,Boost All,3,legacy,info,,online,valid,f,bb32f6f3-f17c-43b2-8628-cb364fef7f73
2026-07-20 14:01:42.144-07,64.50,21.56,25.51,19.83,0.760,68.95,41.91,0.1000,4.17,Boost All,3,legacy,info,,online,valid,f,1c12e8fa-b246-4bba-8792-a595a11d3ea2
2026-07-20 14:01:42.251-07,51.93,19.25,22.01,26.04,0.620,45.91,49.80,0.0900,2.04,Boost All,3,legacy,info,,online,valid,f,9252237d-02ed-44e4-b205-047db4dfaee1
2026-07-20 14:01:42.354-07,42.58,19.75,23.72,24.39,0.630,46.53,51.54,0.0800,0.39,Maintain,2,legacy,info,,online,valid,f,456a7fb8-6aa6-43d4-acad-bce5e544772b
2026-07-20 14:01:42.461-07,49.33,19.32,20.88,19.73,0.610,55.00,34.81,0.0800,4.27,Increase Chiller,0,legacy,info,,online,valid,f,a4c6b975-c8c9-4179-bdda-e3c9bb1134ce
2026-07-20 14:01:42.566-07,59.47,19.48,27.85,25.80,0.780,67.76,46.69,0.0800,1.80,Increase Chiller,0,legacy,info,,online,valid,f,c7c18f7d-9996-48ab-8e9a-0af8d832236d
2026-07-20 14:01:42.673-07,67.08,19.95,24.23,21.77,0.840,77.01,45.28,0.0800,2.23,Reduce AHU,1,legacy,info,,online,valid,f,1578e666-ab10-479a-be8b-557aea854b8f
2026-07-20 14:01:42.778-07,52.76,18.60,24.52,26.64,0.720,56.68,53.74,0.0900,2.64,Eco Mode,4,legacy,info,,online,valid,f,a4493519-7822-47e6-bcbc-a5e14f5e5e8f
2026-07-20 14:01:42.885-07,92.59,24.41,28.97,26.13,1.040,96.20,53.79,0.1200,2.13,Maintain,2,legacy,info,,online,valid,f,eb42e13b-074a-4d71-b052-e9b743dbc10d
2026-07-20 14:01:42.99-07,62.92,22.40,25.97,18.00,0.730,70.23,34.12,0.0900,6.00,Increase Chiller,0,legacy,info,,online,valid,f,df31eb1c-5c21-4c75-bda2-384e6a55529e
2026-07-20 14:01:43.096-07,68.73,23.05,28.05,24.79,0.760,66.18,46.00,0.1000,0.79,Boost All,3,legacy,info,,online,valid,f,5bcf17b6-2ff4-44db-81c1-802f6e53a602
2026-07-20 14:01:43.202-07,62.43,21.40,23.41,21.58,0.750,66.38,43.21,0.0900,2.42,Increase Chiller,0,legacy,info,,online,valid,f,ca171813-4e4f-4915-bc5e-d5bf739945c4
2026-07-20 14:01:43.308-07,100.00,24.77,27.70,21.92,1.000,100.00,39.52,0.1500,2.08,Maintain,2,legacy,info,,online,valid,t,e045f40c-71e7-4e07-b7b0-4d52b34bafa9
2026-07-20 14:01:43.413-07,78.96,22.58,25.16,21.30,0.890,83.73,44.12,0.1000,2.70,Boost All,3,legacy,info,,online,valid,f,8d59265e-78d3-416c-9b06-0e1dab516f5e
2026-07-20 14:01:43.519-07,68.55,21.54,22.85,26.34,0.810,65.62,57.28,0.1100,2.34,Reduce AHU,1,legacy,info,,online,valid,f,b70e3b94-e7db-45fd-bd24-3aaaaac57f57
2026-07-20 14:01:43.625-07,36.61,20.83,27.96,18.28,0.540,43.88,38.35,0.0800,5.72,Eco Mode,4,legacy,info,,online,valid,f,e718f7a7-b010-449f-a7c9-aa6eca79f300
2026-07-20 14:01:43.731-07,66.25,20.32,21.58,22.19,0.810,74.03,43.39,0.0900,1.81,Boost All,3,legacy,info,,online,valid,f,09dc78c1-0fed-437c-99c0-c402995130f8
2026-07-20 14:01:43.839-07,56.58,19.44,24.85,30.00,0.780,61.99,56.17,0.0800,6.00,Eco Mode,4,legacy,info,,online,valid,f,caf33026-74fd-416e-a682-04000a1421ba
2026-07-20 14:01:43.945-07,98.30,25.42,32.41,23.04,1.050,100.00,49.54,0.0900,0.96,Maintain,2,legacy,info,,online,valid,f,dfcd37f9-b1be-4088-baca-c422edef6807
2026-07-20 14:01:44.051-07,21.37,19.20,25.96,19.77,0.370,22.68,38.08,0.0400,4.23,Eco Mode,4,legacy,info,,online,valid,f,bf830e05-9586-47f8-b7bb-04c3b398f97a
2026-07-20 14:01:44.158-07,64.76,21.28,24.98,22.39,0.690,57.19,45.90,0.0800,1.61,Reduce AHU,1,legacy,info,,online,valid,f,75f09e1c-b5af-489b-ae68-68cbb0a74f20
2026-07-20 14:01:44.264-07,27.17,19.12,24.71,19.18,0.410,28.24,36.35,0.0500,4.82,Eco Mode,4,legacy,info,,online,valid,f,c7288ec7-d79e-4d5c-907e-2fffad883906
2026-07-20 14:01:44.37-07,79.04,21.50,24.08,19.73,0.880,84.93,40.48,0.1100,4.27,Maintain,2,legacy,info,,online,valid,f,8501a1ea-44f0-4972-8977-11fb342aeec1
2026-07-20 14:01:44.475-07,73.53,24.18,29.51,21.18,0.850,77.28,45.48,0.0800,2.82,Maintain,2,legacy,info,,online,valid,f,e33ced64-a400-4f9a-9f9e-91ac19776bcf
2026-07-20 14:01:44.579-07,61.86,21.49,29.75,22.37,0.670,55.29,44.82,0.0800,1.63,Boost All,3,legacy,info,,online,valid,f,1b461001-cfbb-4d45-be5d-5c4b452c6286
2026-07-20 14:01:44.687-07,43.92,17.60,22.03,24.44,0.540,39.54,45.18,0.0500,0.44,Reduce AHU,1,legacy,info,,online,valid,f,381903f1-e697-4b2d-8ef0-736837082804
2026-07-20 14:01:44.791-07,65.36,21.29,27.32,26.00,0.700,56.26,49.33,0.0800,2.00,Boost All,3,legacy,info,,online,valid,f,d4407deb-0659-46a3-ad69-05822f73bb47
2026-07-20 14:01:44.894-07,48.27,19.11,20.44,20.02,0.530,42.06,37.83,0.0800,3.98,Maintain,2,legacy,info,,online,valid,f,e40a3e0b-d016-4643-9398-fbfe9cb1ee33
2026-07-20 14:01:44.999-07,97.58,24.72,29.60,22.98,1.050,100.00,50.56,0.0900,1.02,Maintain,2,legacy,info,,online,valid,f,2d131873-fb9f-41a1-8854-f64c1172e50c
2026-07-20 14:01:45.105-07,76.17,22.42,26.41,23.39,0.810,68.75,51.16,0.0700,0.61,Reduce AHU,1,legacy,info,,online,valid,f,41e56bef-7f57-4b06-a883-c6e5719acdbf
2026-07-20 14:01:45.21-07,33.29,18.59,24.82,25.77,0.480,26.73,52.30,0.0600,1.77,Boost All,3,legacy,info,,online,valid,f,0de8a4e1-86e5-4ab7-ba4d-3c6df8d42e30
2026-07-20 14:01:45.317-07,32.61,18.05,24.20,25.10,0.540,38.96,45.61,0.0500,1.10,Maintain,2,legacy,info,,online,valid,f,02315554-44d5-40b6-823f-f39e8fd69cf7
2026-07-20 14:01:45.423-07,55.93,20.19,24.18,23.77,0.780,65.25,52.14,0.1100,0.23,Eco Mode,4,legacy,info,,online,valid,f,416eb739-0023-45ca-a414-8cf15140f707
2026-07-20 14:01:45.528-07,60.62,21.90,30.35,27.80,0.690,52.76,53.51,0.0900,3.80,Eco Mode,4,legacy,info,,online,valid,f,d2dfbe49-ee27-4c94-ae2e-c234aee5ca29
2026-07-20 14:01:45.633-07,49.61,20.50,26.60,22.82,0.680,58.57,42.05,0.1000,1.18,Eco Mode,4,legacy,info,,online,valid,f,100e45d8-ddc1-49f9-9c88-c780b4008a42
2026-07-20 14:01:45.739-07,45.12,17.68,21.42,25.39,0.540,37.09,47.92,0.0800,1.39,Increase Chiller,0,legacy,info,,online,valid,f,6e82e994-7fdd-4398-b0c4-1e07a0f78539
2026-07-20 14:01:45.846-07,83.91,23.66,30.86,26.62,0.870,74.76,54.76,0.1200,2.62,Increase Chiller,0,legacy,info,,online,valid,f,02a9d72f-37c9-4047-8efb-55423b184875
2026-07-20 14:01:45.953-07,76.17,23.46,31.05,23.03,0.900,83.53,46.37,0.1300,0.97,Eco Mode,4,legacy,info,,online,valid,f,0e0cb588-e52c-4363-a28c-a238831d8249
2026-07-20 14:01:46.057-07,41.39,20.42,27.26,23.88,0.580,39.79,51.99,0.0500,0.12,Maintain,2,legacy,info,,online,valid,f,9b8db332-0295-48e6-b9a3-294d9f76fbdd
2026-07-20 14:01:46.16-07,82.95,22.46,32.44,21.98,0.890,83.85,44.31,0.1300,2.02,Reduce AHU,1,legacy,info,,online,valid,f,3d3f6ec2-9347-4071-9bbd-b502a1542f5c
2026-07-20 14:01:46.264-07,69.03,21.95,28.92,24.65,0.860,77.93,46.75,0.0800,0.65,Boost All,3,legacy,info,,online,valid,f,5c7ac04c-aac6-4d59-9a25-d151c2a6c549
2026-07-20 14:01:46.367-07,74.02,22.92,28.21,23.38,0.830,75.60,44.62,0.1000,0.62,Boost All,3,legacy,info,,online,valid,f,df28fc6a-715d-40c5-945e-3f1a26c92ac7
2026-07-20 14:01:46.471-07,88.11,23.64,29.72,26.26,0.900,80.89,49.88,0.0800,2.26,Maintain,2,legacy,info,,online,valid,f,cdaf8dc8-f435-4c2a-8279-1c1fcf4392ef
2026-07-20 14:01:46.575-07,43.54,17.60,23.19,28.26,0.660,48.11,54.51,0.0600,4.26,Eco Mode,4,legacy,info,,online,valid,f,8f5b0052-12bf-4529-8d4e-53c214d891ec
2026-07-20 14:01:46.681-07,66.92,22.90,26.65,23.05,0.810,75.71,41.34,0.1000,0.95,Maintain,2,legacy,info,,online,valid,f,e5b2364b-a210-4d73-a6b6-5be0f6354829
2026-07-20 14:01:46.785-07,94.64,24.69,32.85,23.11,0.990,93.52,47.37,0.1000,0.89,Boost All,3,legacy,info,,online,valid,f,72a6e789-2ce4-4d9b-a98e-ed1acd98f61d
2026-07-20 14:01:46.891-07,75.92,22.77,26.36,25.67,0.960,85.32,54.79,0.1100,1.67,Eco Mode,4,legacy,info,,online,valid,f,e7219f94-e29a-4f3a-b981-94d93bc11844
2026-07-20 14:01:46.997-07,55.07,21.40,29.01,21.19,0.690,61.07,39.83,0.0600,2.81,Maintain,2,legacy,info,,online,valid,f,c310afbb-5719-474b-8aa9-9720553edaab
2026-07-20 14:01:47.099-07,79.44,22.19,27.94,20.18,0.820,78.66,38.25,0.0900,3.82,Boost All,3,legacy,info,,online,valid,f,3b2a71a7-f8fd-4fdb-b45b-371c042a5c85
2026-07-20 14:01:47.205-07,100.00,26.21,28.44,22.19,0.990,98.40,40.46,0.1400,1.81,Eco Mode,4,legacy,info,,online,valid,f,2e443f27-38c7-494a-ac7c-bb32282c2c4d
2026-07-20 14:01:47.309-07,32.78,18.20,22.25,24.25,0.570,40.34,49.67,0.0600,0.25,Reduce AHU,1,legacy,info,,online,valid,f,4eec9d98-785d-4ac2-bb03-31a4f8033e13
2026-07-20 14:01:47.412-07,42.75,18.86,24.70,28.96,0.570,37.54,54.34,0.0700,4.96,Increase Chiller,0,legacy,info,,online,valid,f,938b07be-2f20-4eaa-bc3b-990f8603fe4d
2026-07-20 14:01:47.518-07,74.65,22.36,27.48,26.14,0.900,81.85,50.00,0.0700,2.14,Increase Chiller,0,legacy,info,,online,valid,f,b8706553-0a90-42e7-ac51-445023af551f
2026-07-20 14:01:47.624-07,24.42,15.22,20.25,25.24,0.480,25.24,55.39,0.0400,1.24,Reduce AHU,1,legacy,info,,online,valid,t,bdd7532a-896a-43bf-9bad-85004d94a668
2026-07-20 14:01:47.728-07,58.17,21.92,25.71,24.43,0.700,54.11,53.63,0.0700,0.43,Boost All,3,legacy,info,,online,valid,f,d74b04a6-d4c6-438f-8501-9c60c6289c05
2026-07-20 14:01:47.831-07,33.28,17.23,21.45,25.25,0.510,29.15,55.22,0.0500,1.25,Eco Mode,4,legacy,info,,online,valid,f,abe01d74-b651-4a08-9b39-11f8c9e0e420
2026-07-20 14:01:47.935-07,100.00,25.84,31.18,20.99,0.930,90.67,41.46,0.1300,3.01,Boost All,3,legacy,info,,online,valid,f,210bc5b7-bbb3-4d0e-92a8-cba4411233ed
2026-07-20 14:01:48.066-07,66.54,20.83,27.73,20.50,0.760,71.86,36.78,0.0900,3.50,Reduce AHU,1,legacy,info,,online,valid,f,de2c9930-600b-4b8d-b283-cc6cbd6d619c
2026-07-20 14:01:48.169-07,98.63,24.88,32.54,20.47,1.000,97.31,44.93,0.1400,3.53,Eco Mode,4,legacy,info,,online,valid,f,6a827d90-8569-40bc-bece-7f6912454f14
2026-07-20 14:01:48.276-07,33.04,17.14,22.57,22.66,0.560,42.12,44.53,0.0500,1.34,Boost All,3,legacy,info,,online,valid,f,67c87df3-5da4-43c7-929d-ffe6db2497da
2026-07-20 14:01:48.379-07,75.99,23.29,28.36,26.06,0.840,73.86,49.87,0.0700,2.06,Reduce AHU,1,legacy,info,,online,valid,f,d04066a1-3c8a-4062-a47f-1f4066cad1c8
2026-07-20 14:01:48.482-07,55.38,21.03,26.22,20.43,0.740,64.55,45.51,0.1100,3.57,Eco Mode,4,legacy,info,,online,valid,f,9b2de6e4-2668-496b-8d15-09c88d652c83
2026-07-20 14:01:48.584-07,100.00,23.05,25.94,20.10,1.000,100.00,39.09,0.1400,3.90,Maintain,2,legacy,info,,online,valid,f,674b7afe-935a-4f30-8551-96c27f13ceaf
2026-07-20 14:01:48.691-07,96.03,22.29,26.95,27.08,1.080,100.00,56.25,0.1000,3.08,Reduce AHU,1,legacy,info,,online,valid,f,56afd330-4be6-40a9-9780-18b5af4d2ce9
2026-07-20 14:01:48.798-07,84.96,22.53,31.54,24.32,0.900,79.45,52.90,0.0900,0.32,Maintain,2,legacy,info,,online,valid,f,3d0b2dd6-9a9c-4ba2-be41-bd05cc00f1eb
2026-07-20 14:01:48.901-07,71.76,23.42,27.87,22.43,0.850,75.68,49.67,0.0700,1.57,Maintain,2,legacy,info,,online,valid,f,7ec22c07-d55c-499b-bcf9-d4ae7be77458
2026-07-20 14:01:49.006-07,82.49,25.53,29.44,21.24,0.900,85.85,43.00,0.1300,2.76,Reduce AHU,1,legacy,info,,online,valid,f,46cec9d4-1802-498e-93f9-593f4451aa0f
2026-07-20 14:01:49.11-07,58.87,20.16,25.55,25.72,0.760,62.32,51.76,0.1100,1.72,Increase Chiller,0,legacy,info,,online,valid,f,55161b91-0208-4f8e-b020-e1feba1a3fb2
2026-07-20 14:01:49.217-07,72.91,20.82,24.27,23.26,0.920,82.27,51.41,0.1300,0.74,Eco Mode,4,legacy,info,,online,valid,f,2d42548c-176b-449c-93d9-2030f10fe853
2026-07-20 14:01:49.324-07,93.40,24.09,28.99,19.58,0.890,85.61,40.38,0.0800,4.42,Maintain,2,legacy,info,,online,valid,f,75d51b13-0b06-44ee-902e-d46f203caf3f
2026-07-20 14:01:49.431-07,63.64,21.31,25.12,27.78,0.820,68.94,54.40,0.0800,3.78,Boost All,3,legacy,info,,online,valid,f,8edf0e8a-3314-457f-a26c-b7428c870205
2026-07-20 14:01:49.538-07,88.69,23.47,29.59,23.12,0.970,90.59,48.80,0.0800,0.88,Boost All,3,legacy,info,,online,valid,f,22061c82-e740-49ff-b72f-211272971e0c
2026-07-20 14:01:49.644-07,92.43,23.91,31.21,22.68,0.970,92.17,46.89,0.1100,1.32,Maintain,2,legacy,info,,online,valid,f,4012aa8d-17be-43db-91ad-5bf418e85daa
2026-07-20 14:01:49.751-07,84.65,22.09,27.78,20.62,0.790,74.67,37.78,0.0800,3.38,Boost All,3,legacy,info,,online,valid,f,dc902050-1220-4ab4-aee8-c09d79ec8cdf
2026-07-20 14:01:49.858-07,76.29,23.05,27.49,24.90,0.830,71.29,52.92,0.1200,0.90,Reduce AHU,1,legacy,info,,online,valid,f,c2aa3c8a-8bff-440f-bff7-a3d1ae46f2b9
2026-07-20 14:01:49.965-07,54.72,19.97,24.53,19.10,0.670,57.21,41.60,0.1000,4.90,Boost All,3,legacy,info,,online,valid,f,7772b3ee-4208-43ff-ba73-da5eef4cbba8
2026-07-20 14:01:50.07-07,76.73,21.03,23.62,23.82,0.910,81.84,51.41,0.1200,0.18,Reduce AHU,1,legacy,info,,online,valid,f,635bd0c0-e8ef-464c-826c-0709a6f8fd2a
2026-07-20 14:01:50.177-07,59.52,22.42,28.57,18.00,0.720,68.39,34.80,0.1000,6.00,Boost All,3,legacy,info,,online,valid,f,75dd39ea-6853-4f5f-aa5c-2abc160ac876
2026-07-20 14:01:50.281-07,84.71,24.19,31.75,24.65,0.990,90.71,53.12,0.1000,0.65,Boost All,3,legacy,info,,online,valid,f,3e153f59-dc31-4c0e-b6a1-2d358127ac4d
2026-07-20 14:01:50.387-07,51.02,22.05,26.36,28.89,0.690,49.57,58.88,0.0900,4.89,Maintain,2,legacy,info,,online,valid,f,67d7ece3-9528-441a-81e9-6f7d4aafd666
2026-07-20 14:01:50.494-07,78.06,23.52,28.67,27.21,0.850,70.22,58.08,0.0900,3.21,Increase Chiller,0,legacy,info,,online,valid,f,290a6a67-bb78-4568-bb62-14752969820d
2026-07-20 14:01:50.599-07,80.97,24.29,31.98,23.32,0.910,85.58,45.20,0.1200,0.68,Increase Chiller,0,legacy,info,,online,valid,f,dbba5db6-796d-498f-9f94-fb4fa65fcbc8
2026-07-20 14:01:50.701-07,92.72,25.30,28.46,26.14,0.970,87.48,54.74,0.1000,2.14,Increase Chiller,0,legacy,info,,online,valid,f,cdd6d22f-f7e4-4687-a63f-236aee381b1b
2026-07-20 14:01:50.806-07,87.10,24.11,27.70,27.72,1.040,95.09,55.86,0.1400,3.72,Boost All,3,legacy,info,,online,valid,f,2ea0586d-2123-425a-8add-59ed39a30814
2026-07-20 14:01:50.912-07,95.11,23.69,27.59,19.80,0.970,97.25,38.78,0.1400,4.20,Maintain,2,legacy,info,,online,valid,f,12e51ee5-7628-43ed-9fd8-0d7a76db60c3
2026-07-20 14:01:51.016-07,38.78,19.64,25.42,28.74,0.600,40.84,54.82,0.0800,4.74,Maintain,2,legacy,info,,online,valid,f,d186495f-8db4-4c56-9cb4-975cc1e1faab
2026-07-20 14:01:51.122-07,53.19,18.61,27.89,18.00,0.550,46.91,34.77,0.0500,6.00,Boost All,3,legacy,info,,online,valid,f,3e80b8a4-dc13-47f6-8a5e-9e10fcef0e14
2026-07-20 14:01:51.229-07,93.49,26.36,30.93,18.00,0.890,90.05,34.66,0.1200,6.00,Reduce AHU,1,legacy,info,,online,valid,f,0c0074df-0350-4147-a58f-57ec646cdea3
2026-07-20 14:01:51.334-07,100.00,25.31,31.40,23.01,1.030,100.00,46.45,0.1500,0.99,Boost All,3,legacy,info,,online,valid,t,d0faac8b-05b8-41ab-bef0-655d888ffe20
2026-07-20 14:01:51.442-07,71.05,22.44,25.35,26.30,0.810,69.59,51.44,0.0700,2.30,Maintain,2,legacy,info,,online,valid,f,3ab9ab57-ac09-4bf3-a0fa-e1f634a0d2aa
2026-07-20 14:01:51.545-07,46.99,20.27,26.16,26.10,0.610,44.95,49.09,0.0500,2.10,Reduce AHU,1,legacy,info,,online,valid,f,41a9aa52-f565-4073-a4c5-d1d8ea6d01b6
2026-07-20 14:01:51.653-07,83.25,24.57,31.83,20.59,0.920,90.59,38.93,0.0900,3.41,Eco Mode,4,legacy,info,,online,valid,f,62df0338-3869-497e-98b4-c95d7077a5b9
2026-07-20 14:01:51.76-07,58.75,21.63,26.65,24.92,0.770,62.89,53.03,0.0900,0.92,Increase Chiller,0,legacy,info,,online,valid,f,247c841b-a662-483c-9410-9df2f6d12137
2026-07-20 14:01:51.865-07,72.86,22.70,27.27,21.57,0.790,74.07,40.36,0.1000,2.43,Boost All,3,legacy,info,,online,valid,f,a385ec82-1d84-4fe9-9c77-0d36c4cb68eb
2026-07-20 14:01:51.97-07,42.58,19.75,23.72,24.39,0.630,46.53,51.54,0.0800,0.39,Maintain,2,legacy,info,,online,valid,f,9004ada0-3f74-410b-8a95-dad96e68a97f
2026-07-20 14:01:52.073-07,81.85,24.80,28.96,24.00,0.910,83.25,48.43,0.1000,0.00,Boost All,3,legacy,info,,online,valid,f,a2b06248-9a60-45d2-967c-ccc3c633746b
2026-07-20 14:01:52.18-07,46.56,18.81,20.10,24.48,0.580,42.10,49.41,0.0800,0.48,Increase Chiller,0,legacy,info,,online,valid,f,75ea054c-4f12-4be9-82e1-f416e1764922
2026-07-20 14:01:52.288-07,44.25,19.79,26.23,21.74,0.590,47.57,41.65,0.0700,2.26,Eco Mode,4,legacy,info,,online,valid,f,35adef05-9bf3-49e3-88c4-489f70f5dd0a
2026-07-20 14:01:52.393-07,59.41,19.40,24.38,22.69,0.710,58.54,48.80,0.1000,1.31,Maintain,2,legacy,info,,online,valid,f,2e1bd2e0-5cc8-42db-ad26-b07deb96051f
2026-07-20 14:01:52.5-07,100.00,25.31,31.40,23.01,1.030,100.00,46.45,0.1500,0.99,Boost All,3,legacy,info,,online,valid,t,8077090b-d9bc-4820-95d8-d9788fff94d8
2026-07-20 14:01:52.605-07,38.65,19.08,25.67,20.49,0.500,36.64,40.76,0.0400,3.51,Boost All,3,legacy,info,,online,valid,f,a2474d1d-4a51-4a3e-8ceb-7f347ca0d9b1
2026-07-20 14:01:52.709-07,40.99,19.65,24.52,18.00,0.530,44.09,34.51,0.0600,6.00,Eco Mode,4,legacy,info,,online,valid,f,d8b67663-ecbd-4b6c-bb46-196cd31a7039
2026-07-20 14:01:52.816-07,19.44,17.19,18.13,25.95,0.450,23.99,50.62,0.0500,1.95,Increase Chiller,0,legacy,info,,online,valid,t,1a31a01e-68b8-4991-8495-3037fcf0c4b7
2026-07-20 14:01:52.923-07,61.69,21.44,26.71,22.33,0.710,57.50,49.43,0.0800,1.67,Boost All,3,legacy,info,,online,valid,f,9d9d2de7-8353-4943-a649-bff7d99e0d9f
2026-07-20 14:01:53.03-07,61.80,19.08,24.24,26.76,0.730,61.49,48.60,0.1000,2.76,Maintain,2,legacy,info,,online,valid,f,e5dfe383-137b-4a89-92f6-712da6a943f6
2026-07-20 14:01:53.134-07,85.36,22.72,26.45,22.80,0.990,93.18,49.38,0.1000,1.20,Boost All,3,legacy,info,,online,valid,f,361429b2-dd53-476d-877e-26d00dd81179
2026-07-20 14:01:53.236-07,59.44,19.65,25.64,25.60,0.720,60.07,48.24,0.1000,1.60,Increase Chiller,0,legacy,info,,online,valid,f,2aec6b81-981e-4455-bfd4-c1cb0b3e6113
2026-07-20 14:01:53.343-07,51.94,21.10,27.54,24.37,0.660,54.48,45.21,0.0900,0.37,Increase Chiller,0,legacy,info,,online,valid,f,2475d3dc-cb1f-430b-8ab6-2e9b4c9e449b
2026-07-20 14:01:53.449-07,73.13,24.24,30.78,28.85,0.900,75.51,58.60,0.1100,4.85,Increase Chiller,0,legacy,info,,online,valid,f,72d3b410-a03b-4b08-b645-28ab615e8bb3
