Timestamp,Server_Workload(%),Inlet_Temperature(°C),Outlet_Temperature(°C),Ambient_Temperature(°C),Cooling_Unit_Power_Consumption(kW),Chiller_Usage(%),AHU_Usage(%),Total_Energy_Cost($),Temperature_Deviation(°C),Cooling_Strategy_Action,Output,scenario,severity,failure_point,sensor_status,data_quality,is_outlier,event_id,run_id
2026-07-29 11:21:57.48-07,68.02,22.27,25.22,20.57,0.670,58.16,41.48,0.1000,3.43,Reduce AHU,1,normal,info,,online,valid,f,c8933aa5-bfb9-49a1-a6fd-0152d2ea7107,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.536-07,38.60,18.62,25.26,21.81,0.450,31.27,40.09,0.0600,2.19,Eco Mode,4,normal,info,,online,valid,f,edafc8e6-5c62-4e0c-8373-3f7535c5c484,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.592-07,74.44,22.00,27.03,19.83,0.830,79.64,38.42,0.1200,4.17,Increase Chiller,0,normal,info,,online,valid,f,99e9b151-0227-4333-91fe-0282f4a05ab5,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.648-07,89.03,24.18,27.08,20.33,0.890,83.75,43.52,0.1100,3.67,Boost All,3,normal,info,,online,valid,f,63b7baed-cbbe-4fdb-af9f-6a77f3498b32,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.704-07,52.31,21.05,25.21,25.01,0.590,43.22,48.89,0.0800,1.01,Increase Chiller,0,normal,info,,online,valid,f,c893104c-9946-459e-9f3c-a7509c54c534,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.757-07,75.51,21.67,24.13,23.54,0.800,73.44,42.14,0.1000,0.46,Maintain,2,normal,info,,online,valid,f,c890a7f5-dd57-4564-a48b-4c86237e8758,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.814-07,75.81,25.97,28.73,22.39,0.780,68.78,46.75,0.1000,1.61,Eco Mode,4,normal,info,,online,valid,f,9070016e-3fbf-4791-8d73-c5da5ae4c370,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.868-07,70.52,21.06,28.24,22.73,0.690,61.14,40.47,0.0600,1.27,Reduce AHU,1,normal,info,,online,valid,f,81be6b46-91d1-439b-9818-0c8340d0fd77,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.924-07,40.02,18.93,23.69,18.02,0.420,30.07,35.42,0.0300,5.98,Maintain,2,normal,info,,online,valid,f,811c3d56-f797-4d00-93f2-2252f6b68528,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:57.98-07,60.83,20.52,27.44,28.46,0.710,54.66,54.35,0.0800,4.46,Increase Chiller,0,normal,info,,online,valid,f,20a38aba-4ca4-4556-ac00-8605e6af15e9,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.036-07,89.72,25.41,33.58,31.03,1.030,92.06,59.28,0.1200,7.03,Reduce AHU,1,outlier,warning,,online,valid,t,8378261d-6cf6-4e0e-a0ad-f2e9974cc583,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.092-07,75.37,22.92,28.01,22.41,0.840,78.01,43.05,0.0900,1.59,Boost All,3,normal,info,,online,valid,f,83abfc26-6813-4c54-85af-747b3aac7597,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.149-07,83.75,29.12,37.83,23.10,0.390,13.84,27.30,0.0500,0.90,Increase Chiller,0,cooling_failure,critical,chiller_loop,degraded,valid,t,7b3035ff-acc5-4eb5-920f-12251895c74e,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.206-07,26.88,17.65,20.37,21.12,0.350,20.00,38.15,0.0400,2.88,Maintain,2,normal,info,,online,valid,f,91bd662b-6bf2-426d-b94a-d5ed9994019f,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.263-07,46.89,19.00,24.51,23.86,0.660,51.53,48.83,0.0900,0.14,Increase Chiller,0,normal,info,,online,valid,f,02238718-ec52-44a7-88e2-311779e387c7,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.316-07,53.22,20.98,26.43,19.88,0.700,60.78,43.43,0.1000,4.12,Eco Mode,4,normal,info,,online,valid,f,60ad20a5-83ee-432e-a46b-219b237af9a8,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.373-07,91.02,23.63,26.76,21.73,0.890,82.22,46.52,0.1100,2.27,Boost All,3,normal,info,,online,valid,f,8bf587c6-25f2-4ae6-899b-64399d7ffc35,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.429-07,100.00,24.73,28.47,21.42,0.980,94.21,45.46,0.0900,2.58,Reduce AHU,1,normal,info,,online,valid,f,e57215d0-f8b9-473f-82b0-f55dda31ee3a,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.486-07,97.13,24.49,30.36,24.16,0.950,87.43,50.65,0.0800,0.16,Reduce AHU,1,normal,info,,online,valid,f,259f0e7f-bfbd-40cc-9e0d-fb985b47dfde,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.54-07,64.09,22.40,28.59,20.14,0.630,54.37,38.43,0.0900,3.86,Increase Chiller,0,normal,info,,online,valid,f,5c4c5db7-465e-4511-a95f-ec96d627a734,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.596-07,95.29,26.40,31.29,26.19,0.910,92.58,66.44,0.0900,2.19,Boost All,3,workload_spike,warning,,online,valid,t,aa824c67-cabc-4cb6-83fa-f8ff5df13098,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.653-07,64.66,21.51,26.59,31.41,0.920,73.55,66.00,0.1300,7.41,Reduce AHU,1,outlier,warning,,online,valid,t,919404ca-dc31-40ab-8855-4c0b56ee2104,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.709-07,76.15,22.52,27.80,19.02,0.770,73.99,36.55,0.1000,4.98,Increase Chiller,0,normal,info,,online,valid,f,750e94fe-74fa-483e-8859-20ffd06f1585,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.761-07,49.66,18.13,25.80,23.18,0.710,58.95,47.55,0.0600,0.82,Eco Mode,4,normal,info,,online,valid,f,3e7ec834-9a42-49c8-ad40-e368444f1262,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.815-07,75.20,23.09,28.50,30.39,0.850,69.97,58.90,0.1200,6.39,Increase Chiller,0,normal,info,,online,valid,f,647c38b9-cd8b-4f69-bf00-f6c70617d8a4,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.868-07,54.08,20.52,25.53,21.33,0.690,62.67,38.42,0.0900,2.67,Maintain,2,normal,info,,online,valid,f,847f1134-a1dd-450a-b3b0-47adedce5d4d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.925-07,94.22,26.78,33.77,26.53,0.990,88.04,66.91,0.1000,2.53,Boost All,3,workload_spike,warning,,online,valid,t,c0019547-b154-4c5e-b090-0886f9ec2f66,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:58.982-07,76.52,22.49,26.65,24.81,0.850,77.98,45.63,0.0900,0.81,Eco Mode,4,normal,info,,online,valid,f,df65acca-e534-4006-a830-d94bf8b954f7,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.036-07,67.82,20.39,23.57,27.29,0.880,74.18,57.81,0.0700,3.29,Eco Mode,4,normal,info,,online,valid,f,a512d94e-336a-4763-af2e-e815859996fd,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.092-07,83.89,21.59,26.96,20.01,0.860,80.62,43.32,0.0800,3.99,Maintain,2,normal,info,,online,valid,f,a2c7d474-9d59-418f-9424-484fd513d9ba,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.149-07,60.64,22.31,25.20,23.17,0.760,66.10,46.09,0.1000,0.83,Eco Mode,4,normal,info,,online,valid,f,d289ceef-c7fc-4983-aa69-7bde3a7952ba,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.205-07,62.92,22.40,25.97,18.00,0.730,70.23,34.12,0.0900,6.00,Increase Chiller,0,normal,info,,online,valid,f,6293e70e-4d26-48e0-9c05-b65e19924c6a,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.262-07,67.28,22.77,28.29,21.91,0.770,66.22,48.21,0.1000,2.09,Eco Mode,4,normal,info,,online,valid,f,814c1655-1207-447c-ac86-da0c6cf5a66d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.318-07,94.98,28.03,35.75,26.46,0.350,14.94,38.00,0.0400,2.46,Increase Chiller,0,cooling_failure,critical,chiller_loop,degraded,valid,t,00461aed-05da-4349-97e3-55305f757ebc,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.374-07,68.13,21.68,21.68,23.70,0.750,62.24,51.11,0.0900,0.30,Eco Mode,4,normal,info,,online,valid,f,6094a28d-0f68-4094-810a-d05954005ddc,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.429-07,100.00,25.64,28.24,21.74,1.020,100.00,44.68,0.1500,2.26,Eco Mode,4,outlier,warning,,online,valid,t,4bedd33d-6ab0-463c-a86b-be0cd1e8fc68,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.485-07,92.55,26.01,33.68,23.28,0.900,86.26,42.83,0.0800,0.72,Increase Chiller,0,normal,info,,online,valid,f,8291c6b1-9985-49b1-b573-a9ab45532c39,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.54-07,64.47,21.37,24.45,26.41,0.860,74.04,53.11,0.1000,2.41,Eco Mode,4,normal,info,,online,valid,f,2162d169-3ad6-42b3-9ec9-8b93ad2efd21,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.593-07,44.96,21.31,27.95,24.47,0.630,46.14,51.34,0.0600,0.47,Reduce AHU,1,normal,info,,online,valid,f,0eb3d533-683f-4417-a27d-de3ed51395ec,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.65-07,82.03,24.06,31.52,22.78,0.890,83.38,44.52,0.1000,1.22,Eco Mode,4,normal,info,,online,valid,f,883131cc-dfc9-4f62-8c1d-2cd3cfd74add,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.707-07,51.04,19.24,24.84,26.76,0.650,47.16,54.63,0.0900,2.76,Reduce AHU,1,normal,info,,online,valid,f,296fd9b9-432e-4eb2-acd6-5cc8db9f78bf,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.762-07,100.00,25.31,31.40,23.01,1.030,100.00,46.45,0.1500,0.99,Boost All,3,outlier,warning,,online,valid,t,9a372add-961f-446d-b8d3-abf5319919fe,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.817-07,32.94,17.61,21.08,25.07,0.460,23.57,53.50,0.0600,1.07,Eco Mode,4,normal,info,,online,valid,f,33867c32-9a4c-4bf4-8fda-5f3725a32021,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.869-07,90.91,25.50,29.16,21.08,0.900,88.63,38.19,0.0800,2.92,Maintain,2,normal,info,,online,valid,f,a04c2a14-53ea-4647-8a85-4c0522f28cf4,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.926-07,94.23,26.88,32.96,23.15,1.100,99.32,60.63,0.1100,0.85,Boost All,3,workload_spike,warning,,online,valid,t,68d75806-2cfd-43ec-a232-e4e369ecbf20,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:21:59.981-07,53.38,19.55,24.52,21.72,0.620,51.53,41.10,0.0700,2.28,Increase Chiller,0,normal,info,,online,valid,f,a7b80fe1-19e5-4a6c-9b3d-5665b37fedbd,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.034-07,59.12,22.08,28.37,24.00,0.710,58.03,48.52,0.1000,0.00,Boost All,3,normal,info,,online,valid,f,4bdbffb3-233f-4269-8c61-bd6e46f46871,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.089-07,86.07,22.58,26.64,21.65,0.850,76.59,46.47,0.1200,2.35,Eco Mode,4,normal,info,,online,valid,f,a582c4f8-a3cc-4c7e-ba66-4bbd7bab4cbb,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.146-07,81.83,24.36,29.78,25.27,0.930,83.08,53.90,0.0900,1.27,Increase Chiller,0,normal,info,,online,valid,f,f5f8f721-5dc3-42d1-adf2-8aca6194036f,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.203-07,67.61,21.91,25.97,26.83,0.860,72.57,55.87,0.1200,2.83,Reduce AHU,1,normal,info,,online,valid,f,6df63fb3-623a-49e2-a4c5-52c74f3c2b6b,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.259-07,46.80,21.11,25.76,23.04,0.580,43.34,45.96,0.0900,0.96,Boost All,3,normal,info,,online,valid,f,6e354826-0c95-4b7a-be00-71876b03ae42,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.315-07,60.83,21.55,27.15,25.83,0.740,61.77,48.94,0.1100,1.83,Maintain,2,normal,info,,online,valid,f,26fe3fa1-5c21-4ec4-adb0-2bb5c9ece93d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.367-07,34.60,20.45,26.09,24.05,0.560,42.30,43.43,0.0700,0.05,Eco Mode,4,normal,info,,online,valid,f,2d1cb88b-18dc-4989-b9e1-a218fabaebc1,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.423-07,54.81,20.57,23.25,19.40,0.580,46.93,41.15,0.0800,4.60,Reduce AHU,1,normal,info,,online,valid,f,fbcac1e1-157e-4aa2-87a5-3d29b338ce1d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.476-07,78.19,20.79,27.95,21.69,0.890,84.33,43.75,0.0700,2.31,Maintain,2,normal,info,,online,valid,f,c025f742-4817-4676-8b53-7704c89f06a3,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.534-07,98.23,23.97,29.22,30.95,1.100,100.00,59.11,0.1100,6.95,Reduce AHU,1,outlier,warning,,online,valid,t,20b2242c-f184-4a7d-9c4b-de57c5fd9823,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.589-07,83.35,21.37,24.45,25.28,0.860,73.86,54.18,0.1300,1.28,Maintain,2,normal,info,,online,valid,f,f22675fc-8608-4920-b61f-594d1b164b01,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.646-07,73.61,21.76,24.73,19.28,0.690,64.76,34.43,0.0600,4.72,Increase Chiller,0,normal,info,,online,valid,f,6128ddbf-7017-4591-bddb-77976551127c,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.702-07,71.00,21.81,24.87,22.14,0.740,64.44,44.18,0.0900,1.86,Reduce AHU,1,normal,info,,online,valid,f,357a0982-cd67-4711-a0f5-58a82219277d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.759-07,81.04,24.76,29.36,24.20,0.900,79.71,51.59,0.1000,0.20,Maintain,2,normal,info,,online,valid,f,b843728c-3ff9-4f85-9a48-0e26f482ed3b,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.816-07,99.34,26.83,32.67,21.06,1.070,86.42,58.79,0.1100,2.94,Boost All,3,workload_spike,warning,,online,valid,t,1dd79dda-ec84-40a4-ab25-ca6dcf2db06d,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.873-07,60.85,20.39,26.85,22.72,0.730,64.66,42.53,0.0700,1.28,Increase Chiller,0,normal,info,,online,valid,f,91581cba-edd7-45bf-ba45-a6c93ca6e125,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.93-07,44.66,19.85,23.52,30.37,0.680,46.02,62.36,0.0800,6.37,Boost All,3,normal,info,,online,valid,f,4424f4ed-8ac4-4c92-9add-5d2c6d92667e,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:00.986-07,78.83,22.26,27.37,27.30,0.910,81.36,51.28,0.0800,3.30,Boost All,3,normal,info,,online,valid,f,bdb6aea0-b8b6-4fca-a8de-c335106d0feb,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.041-07,37.59,17.85,18.05,25.47,0.530,32.92,53.24,0.0500,1.47,Eco Mode,4,outlier,warning,,online,valid,t,9b1bc842-01b0-43a2-9281-3f631f0e44f3,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.097-07,63.22,21.23,25.88,22.97,0.680,56.71,45.97,0.0900,1.03,Boost All,3,normal,info,,online,valid,f,7205f5e2-72c2-46c3-ba1e-46a43c3eac34,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.154-07,59.03,21.82,23.97,25.46,0.670,49.15,55.73,0.0900,1.46,Boost All,3,normal,info,,online,valid,f,1b158d40-1fe7-4f88-a240-d3774b97f7c1,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.208-07,49.72,20.69,26.95,24.19,0.620,49.05,44.86,0.0800,0.19,Increase Chiller,0,normal,info,,online,valid,f,c179fdba-b33b-407e-bc2d-fb69e177e0de,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.263-07,81.85,23.08,27.52,22.94,0.860,78.07,47.11,0.0700,1.06,Increase Chiller,0,normal,info,,online,valid,f,ae40cbb0-0277-4903-b692-2e204eb1ce83,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.32-07,89.01,21.96,26.52,25.66,0.890,79.69,50.13,0.0900,1.66,Eco Mode,4,normal,info,,online,valid,f,aba70e09-7d30-496f-9b6b-0189a786e78c,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.376-07,60.56,21.30,28.48,23.51,0.660,56.04,42.05,0.0800,0.49,Increase Chiller,0,normal,info,,online,valid,f,9f2f8e3b-f44e-4c0d-a080-f871c17e0a2b,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.431-07,35.88,17.21,24.68,24.30,0.570,41.73,48.22,0.0500,0.30,Boost All,3,normal,info,,online,valid,f,f74acd96-2fdb-46e3-af89-f9f69a13b03a,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.483-07,100.00,24.68,33.42,22.39,0.980,96.19,41.90,0.0800,1.61,Eco Mode,4,normal,info,,online,valid,f,6676640d-b33f-4243-9767-1508e43cb4a4,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.535-07,61.14,22.64,27.51,28.01,0.680,51.36,53.63,0.0800,4.01,Reduce AHU,1,normal,info,,online,valid,f,3a42e830-bbd5-4810-a7ee-20d6b6afbdef,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.589-07,77.19,21.22,31.18,27.51,0.800,68.15,50.28,0.0900,3.51,Boost All,3,normal,info,,online,valid,f,c3292fab-9dd3-4dc7-9870-cd63bea3e482,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.646-07,53.50,20.95,29.47,22.00,0.580,43.85,45.13,0.0600,2.00,Eco Mode,4,normal,info,,online,valid,f,e16a5a8a-edad-40ab-981c-e3e5fd317c3b,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.7-07,83.74,22.55,28.46,22.50,0.940,91.81,41.88,0.1100,1.50,Eco Mode,4,normal,info,,online,valid,f,dd3015d9-9471-48de-a95f-f5a2a1920838,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.756-07,78.81,22.39,28.39,23.51,0.820,75.50,43.27,0.1100,0.49,Reduce AHU,1,normal,info,,online,valid,f,950cb17d-d677-4012-a9f2-7f24cc42e227,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.809-07,19.44,17.19,18.13,25.95,0.450,23.99,50.62,0.0500,1.95,Increase Chiller,0,outlier,warning,,online,valid,t,229615c1-8aef-4546-98e9-8d092fc17515,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.866-07,95.02,25.02,31.47,27.01,0.990,92.36,59.79,0.1000,3.01,Boost All,3,workload_spike,warning,,online,valid,t,da51e617-6fa5-4516-909b-7c6bac310945,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
2026-07-29 11:22:01.923-07,79.37,21.62,26.67,21.71,0.930,86.70,46.59,0.1000,2.29,Increase Chiller,0,normal,info,,online,valid,f,907d8a0a-13ff-4cdf-bea1-40a88a5eb833,1b17a05b-18db-4c6f-80e3-18b47f6cb8c4
